YYYY,MM,DD,SST_MIN,SST_MAX,SST@90th_HS,SSTA@90th_HS,90th_HS>0,DHW_from_90th_HS>1,BAA_7day_max
2013,12,27,28.9467,29.7667,29.1522,0.1561,0,1.845,2
2013,12,28,28.8875,29.8931,29.4444,-0.0073,0,1.845,1
2013,12,29,28.4427,30.5899,30.1527,0.3923,0.2715,1.845,1
2013,12,30,29.1871,30.5697,29.847,0.7016,0.4646,1.845,1
2013,12,31,29.2731,30.4339,29.9396,0.625,0.4255,1.845,1
2014,1,1,29.2772,30.2784,29.9009,0.5276,0.3781,1.845,1
2014,1,2,30.0069,30.8277,30.5511,1.123,1.0793,1.9992,2
2014,1,3,29.7065,30.6821,30.6534,0.8755,0.7713,1.9992,2
2014,1,4,29.4581,30.9894,30.5357,0.9023,0.871,1.9992,2
2014,1,5,29.183,31.0527,30.792,1.0044,0.898,1.9992,2
2014,1,6,29.4423,30.7757,30.358,0.9258,0.8876,1.9992,2
2014,1,7,29.269,30.803,30.3464,1.1803,0.9998,1.9992,2
2014,1,8,29.5319,30.7426,30.5599,0.808,0.6307,1.9992,2
2014,1,9,29.3723,30.8715,30.5809,1.2432,1.0351,2.1471,2
2014,1,10,29.6747,30.8805,30.2157,1.0309,0.8495,2.1471,2
2014,1,11,29.3538,30.9367,30.4846,1.1469,1.0318,2.2945,2
2014,1,12,29.5398,30.6787,29.8948,1.1073,0.4697,2.2945,2
2014,1,13,29.2971,30.2478,29.5673,0.551,0.1583,2.2945,2
2014,1,14,29.2183,30.0015,29.3487,0.257,0.0012,2.2945,2
2014,1,15,29.1826,29.864,29.3187,0.2078,0,2.2945,2
2014,1,16,28.8807,29.6422,29.0055,0.1333,0,2.2945,2
2014,1,17,29.0148,29.704,29.3405,0.4491,0,2.2945,2
2014,1,18,29.1485,30.2796,29.3924,0.5015,0,2.2945,1
2014,1,19,28.7083,29.5222,28.872,0.1659,0,2.2945,1
2014,1,20,28.5769,29.3348,28.7287,-0.0821,0,2.2945,1
2014,1,21,28.515,29.3824,28.7022,-0.3193,0,2.2945,0
2014,1,22,28.7735,29.6385,29.198,-0.1802,0,2.2945,0
2014,1,23,28.4396,29.8937,28.763,0.0685,0,2.2945,0
2014,1,24,28.5486,29.929,28.971,0.1576,0,2.2945,0
2014,1,25,28.3211,30.2067,29.7554,0.5954,0.2389,2.2945,1
2014,1,26,28.2249,29.534,29.2355,0.1502,0,2.2945,1
2014,1,27,28.0051,30.3035,28.993,0.3769,0,2.2945,1
2014,1,28,27.926,29.3011,28.4932,-0.5685,0,2.2945,1
2014,1,29,27.107,28.6619,28.0244,-0.979,0,2.2945,1
2014,1,30,26.8977,29.7128,28.9101,-0.1867,0,2.2945,1
2014,1,31,26.8709,28.1285,27.3224,-1.2538,0,2.2945,1
2014,2,1,27.3336,28.5802,28.3394,-0.6102,0,2.2945,0
2014,2,2,27.9323,29.6762,29.1816,0.2353,0,2.2945,0
2014,2,3,28.6479,29.5488,28.9079,-0.0024,0,2.2945,0
2014,2,4,27.7764,29.4945,28.9351,-0.4261,0,2.2945,0
2014,2,5,28.3164,29.407,28.793,0.1569,0,2.2945,0
2014,2,6,28.1636,29.3477,28.91,0.068,0,2.2945,0
2014,2,7,27.9873,29.7658,29.3803,0.2205,0,2.2945,0
2014,2,8,27.8241,29.5145,28.4943,-0.3874,0,2.2945,0
2014,2,9,28.1349,29.1852,28.6754,-0.1752,0,2.2945,0
2014,2,10,27.8324,30.021,29.2424,-0.0964,0,2.2945,0
2014,2,11,28.395,30.4265,29.5616,0.1488,0,2.2945,0
2014,2,12,27.6881,29.172,28.7644,0.0297,0,2.2945,0
2014,2,13,27.8803,29.2999,29.0275,0.2807,0,2.2945,0
2014,2,14,28.4209,29.7494,29.4677,0.7136,0,2.2945,0
2014,2,15,28.3405,29.8833,29.5739,0.7817,0.0426,2.2945,1
2014,2,16,28.7178,29.5256,29.2605,0.4517,0,2.2945,1
2014,2,17,28.411,29.2948,29.1629,0.4884,0,2.2945,1
2014,2,18,28.3318,28.9525,28.7215,-0.0517,0,2.2945,1
2014,2,19,27.5266,28.5431,27.9118,-0.8618,0,2.2945,1
