"","Pop","Site2","Site","Depth","Major.Category","ave","sd$sd","se","upper","lower"
"47","Urban","Urban-W","DiliRock","10m","pSoft",11.7409038310523,11.8813253351194,6.85968638056071,18.600590211613,4.88121745049162
"48","Urban","Urban-W","DiliRock","10m","pSubSa",13.5987269388603,11.5058342148089,6.64289648117111,20.2416234200314,6.95583045768914
"49","Urban","Urban-W","DiliRock","10m","pTurCy",8.98530310573589,8.50794537121735,4.91206455032297,13.8973676560589,4.07323855541293
"50","Urban","Urban-W","DiliRock","5m","pCCA",10.7182895543653,3.50372155669728,2.02287458392467,12.7411641382899,8.6954149704406
"51","Urban","Urban-W","DiliRock","5m","pCoral",4.80077977060001,6.04836846419431,3.49202716096063,8.29280693156064,1.30875260963938
"52","Urban","Urban-W","DiliRock","5m","pInv",7.74325280888743,9.91141107686807,5.72235585327882,13.4656086621663,2.02089695560861
"53","Urban","Urban-W","DiliRock","5m","pMA",1.18089933993399,3.53339840324018,2.04000851926491,3.22090785919891,-0.859109179330921
"54","Urban","Urban-W","DiliRock","5m","pSoft",17.0457537557034,1.61204827212867,0.930716503860159,17.9764702595636,16.1150372518433
"55","Urban","Urban-W","DiliRock","5m","pSubSa",32.0356149344443,11.9268607115414,6.88597624239562,38.9215911768399,25.1496386920486
"56","Urban","Urban-W","DiliRock","5m","pTurCy",26.4754098360656,14.9402100600166,8.62573429990014,35.1011441359657,17.8496755361654
