month,year,Site,Depth,N,Temp,sd,se,ci,m.y
5,2016,CRWTL,5m,31,30.593667741935484,0.2005665831041269,0.03602282173489496,0.07356841662742555,5/2016
6,2016,CRWTL,5m,30,29.424446666666668,0.43565448009057395,0.07953926200793088,0.1626760563719798,6/2016
7,2016,CRWTL,5m,31,28.776229032258065,0.22672877804923416,0.04072169065969432,0.08316478720831309,7/2016
8,2016,CRWTL,5m,31,28.085322580645162,0.23239434977307777,0.041739257380309605,0.08524293569427446,8/2016
9,2016,CRWTL,5m,30,28.867073333333334,0.4294782929228833,0.07841164966422484,0.16036983018179748,9/2016
10,2016,CRWTL,5m,31,29.804554838709677,0.30995280376073375,0.05566916693349228,0.11369160629350693,10/2016
11,2016,CRWTL,5m,30,30.70825,0.2143944781037498,0.03914289728732373,0.08005621381099028,11/2016
12,2016,CRWTL,5m,31,31.043112903225808,0.35041980798459005,0.06293725544923677,0.12853502327917124,12/2016
1,2017,CRWTL,5m,31,30.529258064516128,0.23889968853641438,0.042907650713685165,0.08762911321715336,1/2017
2,2017,CRWTL,5m,28,30.14177857142857,0.2402553138228283,0.0454039865383559,0.0931612851492587,2/2017
3,2017,CRWTL,5m,31,30.168029032258065,0.24291292979659493,0.043628450122326204,0.08910118199593918,3/2017
4,2017,CRWTL,5m,30,29.79702,0.1845303533577737,0.03369047902615061,0.06890476636193336,4/2017
5,2017,CRWTL,5m,31,29.838125806451615,0.3164009302217065,0.05682728463402213,0.11605679817445397,5/2017
6,2017,CRWTL,5m,30,28.68326666666667,0.23276624256571413,0.04249710722632027,0.08691634340416213,6/2017
7,2017,CRWTL,5m,31,28.044051612903225,0.20416614944854394,0.0366693229353494,0.07488874822207933,7/2017
8,2017,CRWTL,5m,8,28.032725,0.1934318318463341,0.06838847999793941,0.16171305833269553,8/2017
8,2015,CRWTL,10m,31,27.233874193548388,0.3427087791577975,0.06155231378786353,0.1257065950705646,8/2015
9,2015,CRWTL,10m,30,28.15591,0.1634259240609409,0.029837355029767868,0.06102424294971855,9/2015
10,2015,CRWTL,10m,31,28.190596774193548,0.36556652516687094,0.06565768616347446,0.13409088399613478,10/2015
11,2015,CRWTL,10m,30,30.125113333333335,0.7687094001539577,0.14034649287686263,0.28704080740112575,11/2015
